ㄷㄱㅎㅈㄷㅀ > 강서유서 | 안녕하세요~^^
북두칠성 >   박일아   | [박일아:긔엽긔▶재야]<2016-01-14 22:15:07>  안녕하세요 ! 선약이 없으신 장수분들은 긔엽긔 국에서 모셔가고 싶습니다. 관심 있으신분은 임관을 꾸욱~ 눌러주세요
북두칠성 >   박일아   | 선약 없어서 임관 꼭 눌렀어요
북두칠성 >   박일아   | 꼭이 아니라 꾸욱~ 눌렀어요
  박일아   > 북두칠성 | 감사합니다! ㅎㅎㅎ
  박일아   > 그만좀불러좀 | 그만좀불러좀님~한턴씩 넣지 마시구.. 턴 다 넣어주시면 안될까요 ㅎㅎㅎ; 올 휴식턴이셔서...
  박일아   > 하기싫은데 | 하기싫은데님~ 정장 1턴 반복 해주세요 ㅎㅎ
   검임    >   박일아   | 인원이 적으면 들어가겠습니다! 지난기수는 랜임했더니 최다인구수나라로 들어가버려서 재미없더라구요...
  박일아   >    검임    | 아마 큰 차이는 없을거같아요. 저번기는 너무 양학이었고... 근데 지금 10인이 차서, 혹시 가능하시다면 183년에 임관해주신다면 감사하겠습니다 ㅎㅎ
  박일아   > 잠둥이션 | 안녕하세요 잠둥이션님! 가능하시다면 183년에 임관해주실수 있을까요? ㅎㅎ 긔엽긔는 잠둥이션님을 환영합니다!
  박일아   > 잠둥이션 | 잠둥이션님을 위해 짤방하나를... 움짤입니다 ㅎㅎ http://i.imgur.com/fYSKwHa.webm
  박일아   >     6974     | 6974님 안녕하세요 ! 혹시 선약이 없으시다면.. 183년에 긔엽긔국에서 초대하고싶습니다 !
  박일아   > 일본어번역기 | 일본어번역기님 안녕하세요 ! 혹시 선약이 없으시다면.. 183년에 긔엽긔국에서 초대하고싶습니다 !
  박일아   >   희지재   | 희지재님 안녕하세요 ! 혹시 선약이 없으시다면.. 183년에 긔엽긔국에서 초대하고싶습니다 !
일본어번역기 >   박일아   | 있다 선약 번역기!
잠둥이션 >   박일아   | 미리 등용장 좀 보내주세요. 183년에 타고 갈께요
  박일아   > 잠둥이션 | 183년부터 등용장 발송이 되요~ 183년 1월에 등용장 보내드릴게요 !
북두칠성 >   박일아   | [갸오오:사랑꾼들▶긔엽긔]<2016-01-15 14:49:58>  불가침건으로 연락드려요. 혹시 가능하시나요?
북두칠성 >   박일아   | [비월:블소▶긔엽긔]<2016-01-15 14:45:02>  옵션 빼고 하는건 어떤가욤
  박일아   > 북두칠성 | 1월 남만출 2턴 남해출 3턴 대출 넣어주세요.
  박일아   > 북두칠성 | 이후 반징훈사 내정 넣어두시고, 다녀오세요 ㅎㅎ
  박일아   > 북두칠성 | 아니다, 1월 남만 2,3월 대 출 넣어주세요
북두칠성 >   박일아   | 수정했어요 고마워용 ~
  박일아   > 북두칠성 | 수정 !!! 1턴 남만, 2턴 남해, 3턴 산월출이구요 부대는 플젠님이 파실겁니다. 거기 가입해주세요!
  박일아   > 북두칠성 | 몇시까지 접속하시나요? 지금 아예 턴수정안되세요? 예턴 또바뀔듯 ㄷㄷ
  박일아   > 북두칠성 | 임관자가 계속 적국에 몰림에 따라 안전빵 예턴 준비했어요. 1턴 남만, 2턴 남해는 동일하구요, 3턴부터 반징훈사 해주세요. 부대는 탑승해주세용~
  박일아   > 북두칠성 | 턴이 아니라 월...
북두칠성 >   박일아   | 83년 6월까지 최후예턴 수정함 나갈게요
  박일아   > 그만좀불러좀 | 땅따 및 초반쟁 국방이 업로드 되었습니다! 모두들 국방대로 부대 및 예턴 수행해주세요 !!
  박일아   >      Air      | 땅따 및 초반쟁 국방이 업로드 되었습니다! 모두들 국방대로 부대 및 예턴 수행해주세요 !!
  박일아   >     Anes     | 땅따 및 초반쟁 국방이 업로드 되었습니다! 모두들 국방대로 부대 및 예턴 수행해주세요 !!
  박일아   >   ㅇωㅇ   | 땅따 및 초반쟁 국방이 업로드 되었습니다! 모두들 국방대로 부대 및 예턴 수행해주세요 !!
  박일아   >    낭군    | 땅따 및 초반쟁 국방이 업로드 되었습니다! 모두들 국방대로 부대 및 예턴 수행해주세요 !!
  박일아   > 북두칠성 | 땅따 및 초반쟁 국방이 업로드 되었습니다! 모두들 국방대로 부대 및 예턴 수행해주세요 !!
  박일아   >    플젠    | 땅따 및 초반쟁 국방이 업로드 되었습니다! 모두들 국방대로 부대 및 예턴 수행해주세요 !!
  박일아   > 하기싫은데 | 땅따 및 초반쟁 국방이 업로드 되었습니다! 모두들 국방대로 부대 및 예턴 수행해주세요 !!
  박일아   >    부관    | 땅따 및 초반쟁 국방이 업로드 되었습니다! 모두들 국방대로 부대 및 예턴 수행해주세요 !!
  박일아   >    낭군    | 182년 2월턴부터 내정턴은 기술연구로 부탁드립니다 !
  박일아   >   ㅇωㅇ   | 182년 2월턴부터 내정턴은 기술연구로 부탁드립니다 !
  박일아   > 그만좀불러좀 | 182년 2월턴부터 내정턴은 기술연구로 부탁드립니다 !
   검임    >   박일아   | 사람많으면 뛰쳐나갈테니 그런줄 아세욧
  박일아   >    검임    | ㅋㅋㅋ네
  갸오오   >   魯堂首   | 보시면 2월 영안출 대신 덕양 출 부탁드려요!
  갸오오   >    읭읭    | 보시면 2월 영안출 대신 덕양 출 부탁드려요!
  희지재   >   박일아   | 14	183年 1月	13:05	【긔엽긔】(으)로 임관            금방 가여~
  박일아   >   희지재   | 감사합니다 ! ><
  갸오오   >   魯堂首   | 국방 출병지 수정되었습니다 확인해주세요!
  갸오오   >    누렁    | 국방 출병지 수정되었습니다 확인해주세요!
  갸오오   > 야근탈출 | 국방 출병지 수정되었습니다 확인해주세요!
  갸오오   >    읭읭    | 국방 출병지 수정되었습니다 확인해주세요!
잠둥이션 >   박일아   | 여기서 징병하고 훈사까지 해놓을께요. 등용장 꼭 바로 보내주셧으면 좋겠습니다. 저 49분턴이에요
  박일아   > 잠둥이션 | 00분 06초에 등용장 갑니다 ㅎㅎㅎ
잠둥이션 >   박일아   | 네 내일 1시에 봅시다.
  갸오오   >    읭읭    | 주민 다 찹니다! 삽턴 주의!
  갸오오   >   魯堂首   | 주민 다 찹니다! 삽턴 주의!
  갸오오   >    누렁    | 농업 다찼어욥
  박희수   > 뒷집할머니 | 땅따하는데 쌀이없어서 조금 몰수했습니다 ㅠㅠ 죄송합니다 챙겨드릴수있도록 하겠습니다
  박희수   >   북오더   | 계신가여..
  박희수   >    감정    | 감정님 계신가요? ㅠㅠ 부탁 하나만 드릴께요
  박희수   >    감정    | 혹시나 괜찮으시면 랜임 1분장님께 쌀 600만 증여좀 부탁드릴께요 ㅠㅠ 둔전 생기면 다시 챙겨드리겠습니다
  갸오오   >  Navy마초  | 마초님 안녕하세요! 혹시 선약이 없으시면 사랑꾼들은 어떠신가요@@
  갸오오   > 미친과학 | 미과님 안녕하세요! 혹시 선약이 없으시면 사랑꾼들은 어떠신가요@@
  갸오오   >    리안    | 리안님 안녕하세요! 혹시 선약이 없으시면 사랑꾼들은 어떠신가요@@
  박희수   >    쿠요    | 쿠요형 나 후이임 할꺼없으면 와서 도와줘
  박희수   > 미친과학 | 미과형 나 후이임 할꺼없으면 와서 도와줘
  갸오오   >   청기사   | 집합턴 1턴 밀어주세요!
  최태원   >    리안    | 여 일러와라
  박일아   >  Navy마초  | 마초님 안녕하세요 ! 비록 초반쟁 잠깐뿐이었지만, 마초님을 초대하고싶습니다 ! 임관에서 긔엽긔를 찾아주세요 !
  박일아   > 미친과학 | 미과님 안녕하세요 ! 비록 초반쟁 잠깐뿐이었지만, 미과님을 초대하고싶습니다 ! 임관에서 긔엽긔를 찾아주세요 !
  박일아   > 잠둥이션 | 잠둥님 대 출병 넣어주세요 !
  박일아   >     Anes     | Anes님, 2턴에 북두칠성님 남해 발령해두시고, 집합턴 안당겨지면 1턴 당겨서 북두칠성님 보내주실수 있을까요?
    Anes     >   박일아   | 네 3분까지 기다리고 안바뀌면 당길게요
   장임    >     SARS     | 사스님 좀 도와주십쇼
    Anes     >   박일아   | 턴 당겼습니다
  갸오오   >   魯堂首   | 사령1턴 청기사 강주발령, 사령2턴 읭읭님 강주발령 부탁드려요!..
  박일아   >     Anes     | 하기싫은데님은 집합+충차로 쓸 계획이라 이번 땅따에선 아마 집합으로 쓸거예요. 쌀포 지우셔도 됩니다 ㅎㅎ
    Anes     >   박일아   | 그럼 하기싫은데님대신 부관님에게 쌀포 넣어둘게요
  박일아   > 푸린푸린♥ | 안녕하세요 푸린푸린님! 아직 임관지가 정해지지 않으셨다면.. 저희 긔엽긔에서 함께 해보시지 않을래요 ?! 푸린님을 기다립니다 ㅎㅎ
  박일아   > 그래도우리는 | 그래도우리는님! 혹시 아직 임관지가 정해지지 않으셨다면 저희 긔엽긔에서 초빙하고싶습니다. 혹, 관심 있으시다면 긔엽긔에 임관해주신다면 환영해드릴게요 !!
  박일아   >   류화영   | 류화영님! 혹시 아직 임관지가 정해지지 않으셨다면 저희 긔엽긔에서 초빙하고싶습니다. 혹, 관심 있으시다면 긔엽긔에 임관해주신다면 환영해드릴게요 !!
  박일아   > 피곤한조자룡 | 조자룡님! 혹시 아직 임관지가 정해지지 않으셨다면 저희 긔엽긔에서 초빙하고싶습니다. 혹, 관심 있으시다면 긔엽긔에 임관해주신다면 환영해드릴게요 !!
  박일아   >    쿠요    | 쿠요님 >< 혹시 선약이나 임관을 결심한 국가가 없으시다면 혹시 긔엽긔에 임관해주실수 있을까요? ㅎㅎ 쿠요님 긔요미 ><
  박일아   >   샤그니   | 샤그니님 ! 혹시, 아직 임관지 안정해지셨으면 저희국좀 도와주실수 있으세요? (당연히) 국방은 제가 다 만듭니다 (...)
  박일아   >     Anes     | Anes님 산월출 넣어주세요. 그리고 1턴에 하기싫은데 상동 발령요~ 1턴은 부관님이 가져가실겁니다
    Anes     >   박일아   | 네
  갸오오   > 야근탈출 | 사령1턴에 魯堂首님 쌀천 포상ㄷ ㅚ시나요!
  갸오오   >   청기사   | 1턴에 노당수님 쌀천 포상 부탁드려요
  박일아   >     Anes     | 1턴 가져갈께요. 1턴에 플젠 산월 발령요
    Anes     >   박일아   | 네 발령넣었어요
  갸오오   >    읭읭    | 읭읭님 출병 그만해주세요!..
  박일아   >     Anes     | 1턴 가져갈테니 SARS 금 2천 포상요~
    Anes     >   박일아   | 네 넣었어요
푸린푸린♥ >   박일아   | 흑 죄송해요 ㅜㅜ 이미 선약이 ㅜㅜ 다음에 함께해요~
   장임    >     SARS     | ㅠㅠ..........가버리시다니
  박일아   >     Anes     | 잠둥이션님이랑 자리 스핀했어요.ㅎㅎ
  박일아   > 그만좀불러좀 | 그만좀불러좀님~ 반징훈사 해두시고 남은턴 기연으로 해주세요~
  갸오오   >   천괴금   | 선약이 없으시다면 사랑꾼들 국은 어떠신가요!
  박일아   >     Anes     | 검임님 상동 발령 부탁드려요
  박일아   >    검임    | 검임님 계양이나 고창으로 출병지 수정해주세요
  박일아   >   천괴금   | 안녕하세요 천괴금님! 혹시 선약이 없으시다면, 긔엽긔에서 천괴금님을 모시고 싶습니다 !
    Anes     >   박일아   | 네
  박일아   >     Anes     | Air 쌀 2천 포상 부탁드릴게욥
  박일아   > 잠둥이션 | Anes 금 1천 포상 부탁드릴게욥
  하루카   >     6974     | 초반쟁을 대비하기 위해 금쌀 좀 빌려가겠습니다 양해 부탁드립니다.
  하루카   >   물파스   | 초반쟁을 대비하기 위해 금쌀 좀 빌려가겠습니다 양해 부탁드립니다.
  하루카   >   발암맨   | 초반쟁을 대비하기 위해 금쌀 좀 빌려가겠습니다 양해 부탁드립니다.
  하루카   >    연이    | 초반쟁을 대비하기 위해 금쌀 좀 빌려가겠습니다 양해 부탁드립니다.
  하루카   > 푸린푸린♥ | 초반쟁을 대비하기 위해 금쌀 좀 빌려가겠습니다 양해 부탁드립니다.
  갸오오   > 야근탈출 | 덕양출 해주세요!..
  박일아   >     Anes     | SARS, 그만좀불러좀 쌀 1천씩 포상 부탁드려요
    Anes     >   박일아   | 네 포상넣었어요
  박일아   > 북두칠성 | 2,3,4턴 계양출 해주세요 이후 반징훈사 !
  박일아   > 북두칠성 | 턴 지났으니 1~3턴이 되겠군요 ㅎㅎ
   무광    >     HideD     | 8시21분에 장판 발령해드릴게요
   무광    >     HideD     | 저도 장판으로 발령해주세요
   무광    > 카이사르 | 히데디님 제가 이번턴에 장판발령할게요
  박일아   > 잠둥이션 | 션님 재 반징 갑시다. 출하기 애매한 병력이네요 ㅎㅎ
  박일아   > 일기토지배자 | 안녕하세요! 일기토지배자님! 저희 긔엽긔에서 일기토지배자님을 초빙하고싶습니다. 원하신다면 무력계통 내정만 하실수 있게 해드리겠습니다 !
잠둥이션 >   박일아   | 회계 막타 가능할거 같은데 재징가요?
  박일아   >    비밀    | 개인메세지는 3초당 1건만 보낼 수 있습니다!
  박일아   >   정력왕   | 안녕하세요! 정력왕님! 혹시 선약이 없으시다면 저희국으로 초대하고싶습니다. 지장이 많이 부족한 터라 정력왕님의 힘이 절실합니다.. 오신다면 정말 감사드릴게요!
   검임    >   박일아   | 깜빡 졸았더니(...) 고창갑니다
  박일아   >   엄백호   | 개인메세지는 3초당 1건만 보낼 수 있습니다!
  박일아   >   엄백호   | 안녕하세요 엄백호님 ! 혹시 선약이 없으시다면, 엄덕왕의 옛 영광을 긔엽긔에서 부활시켜보시는건 어떨까요 ! 저희국으로 엄덕왕님을 초대하고싶습니다 !
  박일아   >    비밀    | 안녕하세요! 비밀님! 혹시 선약이 없으시다면 저희국으로 초대하고싶습니다. 지장이 많이 부족한 터라 비밀님의 힘이 절실합니다.. 오신다면 정말 감사드릴게요!
  박일아   > 잠둥이션 | 네 Anes님이 회계는 정리 하실거예요. 이번에 반징해두면 2출 되시니까 그렇게 하는게 좋아요 ㅎㅎ
잠둥이션 >   박일아   | okok
잠둥이션 >   박일아   | 11시가 출병턴이니 그때 다시 올께요 ㅋ
  박일아   >    검임    | 검임님, 고창은 부관님이 바로 앞턴에서 먹습니다. 1턴에 계양출 해주시고 반징훈사 해주세요 ㅎㅎ
  박일아   >     Anes     | 2턴에 희지재 쌀 1만 몰수 부탁드려요~ 쌀연성 한번 합니다~
  갸오오   > 일기토지배자 | 안녕하세요! 혹시 선약이 없으시다면 사랑꾼들은 어떠세요?
  갸오오   >   정력왕   | 안녕하세요! 혹시 선약이 없으시다면 사랑꾼들은 어떠세요?
    SARS     >    장임    | 죄송합니다~~
   무광    >      DVa      | 강하는 나중에 먹어도되니 강릉부터 쳐주세요~
   비월    >   다이스   | 다이스님 11월이나 12월턴에 저 정도로 발령부탁드리겠습니다.
  갸오오   > 일기토지배자 | 혹시 부대 생성 가능하시나요?
   검임    >   박일아   | ...정신을못썼더니 부탈도 못하고 고창으로 이동을.. 죄송합니다 ㅠ 내정이나할게요
북두칠성 >     SARS     | 사스님 할룽~.~ 방가방가
  박일아   >    검임    | 내정하실꺼면 부대 내리시고 올턴 선정 해주세요!
  박일아   >    낭군    | 낭군님 부대 탑승하시고 시상 때려주세요
   무광    > 카이사르 | 양양발령드릴테니 금으로 쌀 사셔야 할 거 같아요.
카이사르 >    무광    | 1턴에 사령턴으로 양양 보내드릴테니 한턴아껴서 다른걸로 쓰세요
  갸오오   >   김우민   | 김우민님 안녕하세요 혹시 선약이 없으시면 사랑꾼들 은 어떠신가요?
푸린푸린♥ >   하루카   | 오냐~*
 Navy마초  >   박일아   | 다음기회에 뵙겠습니다. 후후...
 Navy마초  >   갸오오   | 곧 찾아뵙죠 후후
  박희수   >      橙      | 죄송해요 ㅠㅠ 흉노를 저쪽이 먼저쳐서.. 발령해드리면 먹어주는 꼴되서 일단 발령안했습니다 내정해주시고 쟁때 신나게 놀아영
  북오더   >   최태원   | 저 금쌀1천씩 포상주세요
     橙      >   박희수   | 알았습니더
     橙      >   청기사   | http://store.steampowered.com/app/262150/
     橙      >   청기사   | 개인메세지는 3초당 1건만 보낼 수 있습니다!
     橙      >   청기사   | 개인메세지는 3초당 1건만 보낼 수 있습니다!
     橙      >   청기사   | 개인메세지는 3초당 1건만 보낼 수 있습니다!
     橙      >   청기사   | 개인메세지는 3초당 1건만 보낼 수 있습니다!
     橙      >   청기사   | 개인메세지는 3초당 1건만 보낼 수 있습니다!
일기토지배자 >   갸오오   | 무력 올려야되용
   검임    >   박일아   | 올턴 선정합니다...만 이동네 민심이 100이니 옮겨주세욧. 답변안해주셔도 됩니다
  엄백호   >   박일아   | 저는 아이템 먹으려고 랜임만 한답니다..
  김우민   >   갸오오   | 선약이 있어서.. 죄송합니다.
  박일아   >     Anes     | 사령 1턴 미루시고 하기싫은데님 왜 발령좀요~
잠둥이션 >   박일아   | 사령턴 지침 주시면 행동하겠습니다~
  박일아   > 잠둥이션 | 지금은 급한거 없습니다. 예턴 입력하시고 주무세요~^^
잠둥이션 >   박일아   | 넵 기연넣고갑니다. 민심이 많이 부족한데 민심 잡는 사람 한명 구해서 돌려야할듯?
카이사르 >    니쉬    | 2턴에는 여강치는걸로 턴 변경해주세요~ 1시 12분에 적벽발령입니다
카이사르 >      DVa      | 혹시 여강 공격될까요? 된다면 1시 12분에 적벽발령 보내겠습니다
   니쉬    > 카이사르 | 완 한대 더 치면 되는 수준으로 될 줄 알았는데 아니네요. 2시에 신야로 발령 넣어주시면 감사하겠습니다아
카이사르 >    니쉬    | 2시 12분 신야 발령 넣었어요 근데 2시 7분인가 여강치면 병력전멸당할텐데... 신야에서는 징병하는게 더 나을수도 있어요
   니쉬    > 카이사르 | 여강 내구가 꽤 남았나보죠...?
   니쉬    > 카이사르 | 6200이면 성 못따겠는대요;
카이사르 >    니쉬    | 병력이 3-4천이상은 있어야 한방에 점령가능한수준?
카이사르 >    니쉬    | 님은 칼자국이 안없어지도록 하는게 목적이예요~ 일단 2시턴에 공격한번하고 신야로 가세요..
   니쉬    > 카이사르 | 디바님 턴 전에 칼이 날아가나유
   무광    > 카이사르 | 발령드릴게여
카이사르 >    무광    | 네
카이사르 >    니쉬    | 디바님 병력 1200 남았어요 그것도 정란으로... 장사한번 공격하면 병력 거의 없는데 여강은 못딸듯요
   니쉬    > 카이사르 | 넵. 안그래도 방금 전 암행으로 병력 보니 그러네요. 말씀하신대로 여강 출병 넣었습니다~
카이사르 >    무광    | 오전7시 이후로는 양양으로 발령주세요~
카이사르 >    무광    | 아님 그떄상황보고 완 못땄으면 신야로 발령주셔도 됩니다
   재야    > 직장인페이트 | 금쌀 평준화중입니다. 몰수 양해바랍니다.
   장임    > 을지바람 | 을지바람님! 186년 12월 개전이니 그 전에 징훈훈사사사 그 후로는 반징훈사수 4반복 부탁드려요
   진리    > 내정달인 | 내정달인님 죄송하지만 땅따 쌀이 부족해서 쌀 2000만 들고가겠습니다. 감사합니다~
   진리    >   천괴금   | 여남 상업 채우시고 기연부탁드립니다~
  갸오오   >   김우민   | 네넹.. 어쩔수없죠..  답장 감사합니다
  박일아   >    비월    | 똑똑, 계신가요..? 혹시 접속잘안함국과 외교상황을 좀 물어봐도 될까요...? 불가침 중이신가요?
  박일아   > 잠둥이션 | 보시면 저 쌀 1천 포상좀 부탁드립니당
   비월    >   박일아   | 네...좀 길게 되있습니다....
  박일아   >    비월    | 네에...실례가 될수있는 질문에 답변 감사합니다 ㅠㅠ
   진리    >    니콜    | 곧 5시가 됩니다. 이후 징병은 자제하시고 인재탐색 3턴후 내정해주세요~
   진리    >   다이스   | 곧 5시가 됩니다. 이후 징병은 자제하시고 인재탐색 3턴후 내정해주세요~
   진리    >    비월    | 곧 5시가 됩니다. 이후 징병은 자제하시고 인재탐색 3턴후 내정해주세요~
   진리    >    아소    | 곧 5시가 됩니다. 이후 징병은 자제하시고 인재탐색 3턴후 내정해주세요~
   진리    >   이쓰미   | 곧 5시가 됩니다. 이후 징병은 자제하시고 인재탐색 3턴후 내정해주세요~
   진리    >   전인호   | 개인메세지는 3초당 1건만 보낼 수 있습니다!
   진리    > 카이스트 | 곧 5시가 됩니다. 이후 징병은 자제하시고 인재탐색 3턴후 내정해주세요~
   진리    >   전인호   | 곧 5시가 됩니다. 이후 징병은 자제하시고 인재탐색 3턴후 내정해주세요~
  박일아   >   갸오오   | 똑똑, 계신가요? 불가침기간 연장하고싶습니다.
  박일아   >    검임    | 선정 3턴만 하시고 성수 부탁드려요~!
  박일아   >     Anes     | 류화영님 교지로 발령좀 부탁드려요 ㅎㅎ
  갸오오   >   박일아   | 얼마나요?
  박일아   >   갸오오   | 현 시점부터 12년정도로 생각하고있어욥
  박일아   >   샤그니   | 샤그니님, 혹시 선약 있으세요? 없으시다면 저희쪽으로 도움을...(3:1이라 많이 힘드네요 ㅠ.ㅠ)
  갸오오   >   박일아   | 현시점이라면  97년까지를 말씀하시는건가요?
  박일아   >   갸오오   | 네 97년까지욥
  갸오오   >   박일아   | 흠 네 뭐...  혹시 10년은 무리인가요?
  박일아   >   갸오오   | 10년은 힘들거같은데 가능하면 12년으로 안될까요...?
  갸오오   >   박일아   | 머 그럼 어쩔수없죠 112년ㄱㄱ
  갸오오   >   박일아   | 아니 12년
  갸오오   >   박일아   | 지금 수뇌분들은 잠수시고..  제 사령턴 5턴까지 되있어서 그쪽에서 보내주실 수 있으세요?
  박일아   >   갸오오   | 18시 47분턴에 가는데 괜찮으신가요?
  갸오오   >   박일아   | 네 괜찮습니다
  박일아   >   소드락   | 저.. 안녕하세요__) 혹시 외교상 문제가 없다면.. 원조를 얻을수 있을까 해서 찾아왔습니다..
카이사르 >    니쉬    | 저녁 8-9시턴에 적벽으로 보내주세요~ 강하 마저 먹고 민심올리고있을게요
   니쉬    > 카이사르 | 옙. 7시 신야 8시 적벽 넣어드렸습니다
  북오더   >   최태원   | 금2천 포상주세요
  갸오오   >   魯堂首   | 노당수님 사령 9시턴 갸오오 귀양발령 / 10시턴 갸오오 덕양발령 부탁드려요
  갸오오   >   청기사   | 청기사님 사령 10시턴 읭읭 귀양발령 / 11시턴 읭읭 덕양발령 부탁드려요
   비월    > 더문더문 | 헐 더문형이십니깡?
  갸오오   >   魯堂首   | 사령턴 밀어주세욥!...
  박일아   >    狂三    | 쿠루미님! 혹시 갈곳이 없으시다면.. 저희 긔엽긔로 와주실수있을까요 ? 1:3쟁중이라 한명 한명의 임관이 너무 소중합니다  ㅠㅠ
  최태원   >   북오더   | 넣었습니다
  갸오오   >   魯堂首   | 청기사님이랑 일기토지배자님은 내정만 하신다고 하셨어요 ㅋㅋ.. 청기사님은 땅따때 한번만 해주기로 하신거고.. 남은 한분인 우리는 님에게 부탁해볼게욥!
  갸오오   > 그래도우리는 | 혹시 이번 쟁때만 집합장 해주실 수 있으시나요 ..?
  갸오오   > 일기토지배자 | 지금 계세요?
일기토지배자 >   갸오오   | 넴
  갸오오   > 일기토지배자 | 수뇌드릴테니 자동에 수몰써주세요!
일기토지배자 >   갸오오   | ㅇㅇ
  갸오오   > 일기토지배자 | 한시 턴에 수몰되게 밀어주세요!..
  갸오오   >   박희수   | 1시에 자동 수몰 일점사해요 버텨주세요!.. 이것이 유일한 희망!..
카이사르 >    무광    | ㄷㄱㅎ 님 적벽에서 징병삽턴나지싶은데 징병지로 보내주세요~
  북오더   >    감정    | 감정님 계시면 반징훈사 저 출병 넣어주세요.
   감정    >   갸오오   | 묻고싶은게잇는데 자동 성벽이 현재 얼마정도 되나요... 지금 저희 서량 성벽 55남아서 거의 망한상태입니다...  빨리좀 와주세요 ㅠㅠ
  갸오오   >    감정    | 44754 (-5136) 【자동】성벽//하하핳ㅎ 1시턴에 수몰 일점사들어가욧..
  소드락   >   박일아   | 죄송하지만 이쪽은 사람도 적어 내정도 제대로 되지 않아 어려울거 같습니다.ㅠㅠ
  박희수   >   갸오오   | ㅠㅠㅠ
  박일아   >   샤그니   | 임관 감사합니다 ㅠㅠ 기연해주시면 감사할께요!
  박일아   >    장임    | 똑똑, 계신가요?
  박일아   > 잠둥이션 | 의병장 17,18,20,21,22 쌀 1천 포상 부탁드려요
  박일아   >   류화영   | 류화영님! 전쟁자금관련해서 미리 몰수 진행해두겠습니다. 감사히 쓰도록 할께요 ! 내정 감사합니다 ! ^^
  박일아   >    장임    | 안계신거같으니, 미리 갠메로 말씀드리겠습니다. 현재 저희국은 막겜국을 먼저 밀어낼수밖에 없는 상황입니다.
  박일아   >    장임    | 그렇게 되면.. 저희국도, 막겜국도 큰 피해를 입을듯 하여, 종전 및 이전에 말씀하셨던 길게 불가침을 제안해봅니다..
   장임    >   박일아   | 이미 주변국 외교는 마친 상태기 때문에 거절하겠습니다. 죄송합니다.
   くま    > 고긔가먹고싶 | 무지장님 쟁이 시작되니 역시 쌀을 슬쩍 해야 할 것 같습니다... 고긔가먹고싶님의 쌀은 동물들의 양식으로 잘 사용될 것입니다!
   くま    > 고긔가먹고싶 | 고긔님 갠메 후 쌀 몰수 넣었습니다 ㅇ.ㅇ 재분배를...
   무광    >      DVa      | 이릉이랑 영안 먹어주세요~
  북오더   > 랜임1분장 | 반징훈사 3반복이라도 넣어주세요..
   진리    >   전인호   | 정착금지!
   진리    >   전인호   | 치안우선!
  류화영   >   박일아   | 임관하기 전에 들고있던 쌀이고.. 임관해서는 받은 쌀도 거의 없고.. 임관해달라고 하셔서 임관한건데.. 이렇게 다 몰수를.. 하시면 좀 슬프긴 슬프네요 ㅠ
  박일아   >   류화영   | 죄송합니다. 쟁 끝나면 다시 포상 드리겠습니다ㅜㅜ
카이사르 >    쿠요    | 제가 드릴게요!
